unit,na_item,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
CLV10_EUR_HAB,B1GQ,AT	31710 	31990 	32360 	32520 	33200 	33710 	34700 	35870 	36280 	34830 	35390 	36300 	36390 	36180 	36130 	36140 	36430 	37090 	37810 	38240 
CLV10_EUR_HAB,B1GQ,BE	29890 	30110 	30490 	30680 	31640 	32200 	32800 	33760 	33640 	32700 	33330 	33460 	33490 	33490 	33870 	34360 	34700 	35250 	35600 	35900 
CLV10_EUR_HAB,B1GQ,BG	3010 	3230 	3440 	3640 	3890 	4190 	4500 	4820 	5140 	4990 	5050 	5300 	5350 	5400 	5530 	5790 	6050 	6310 	6550 	6800
CLV10_EUR_HAB,B1GQ,CH	50770 	51220 	50930 	50580 	51630 	52920 	54720 	56500 	57030 	55080 	56150 	56690 	56660 	57040 	57730 	57840 	58200 	58700 	59870 	59970
CLV10_EUR_HAB,B1GQ,CY	20130 	20700 	21230 	21520 	22300 	23050 	23740 	24420 	24680 	23550 	23400 	22900 	21780 	20400 	20240 	21040 	22360 	23120 	23770	24250
CLV10_EUR_HAB,B1GQ,CZ	11170 	11540 	11760 	12180 	12780 	13570 	14460 	15190 	15430 	14610 	14900 	15200 	15060 	14980 	15370 	16160 	16520 	17200 	17620 	18000 
CLV10_EUR_HAB,B1GQ,DE	28900 	29370 	29290 	29090 	29470 	29730 	30930 	31920 	32320 	30580 	31940 	33200 	33280 	33330 	33930 	34220 	34700 	35420 	35860 	35970 
CLV10_EUR_HAB,B1GQ,DK	42190 	42390 	42430 	42490 	43520 	44400 	45990 	46210 	45700 	43220 	43840 	44240 	44170 	44410 	44890 	45630 	46720 	47360 	48260 	49190 
CLV10_EUR_HAB,B1GQ,EA19	26500 	26990 	27100 	27120 	27600 	27910 	28670 	29370 	29350 	27940 	28470 	28870 	28540 	28410 	28750 	29260 	29730 	30420 	30930 	31250 
CLV10_EUR_HAB,B1GQ,EE	7570 	8070 	8680 	9390 	10090 	11110 	12260 	13270 	12640 	10830 	11150 	12010 	12430 	12640 	13060 	13330 	13650 	14440 	15090 	15670 
CLV10_EUR_HAB,B1GQ,EL	17570 	18210 	18850 	19890 	20850 	20910 	22030 	22690 	22560 	21530 	20320 	18500	17240	16800	17040	17080	17110	17410	17780	18150
CLV10_EUR_HAB,B1GQ,ES	21460 	22190 	22430 	22680 	23020 	23420 	24000 	24380 	24200 	23100 	23040 	22770 	22080 	21840 	22210 	23080 	23760 	24410	24880	25170
CLV10_EUR_HAB,B1GQ,EU27_2020	22460 	22900 	23090 	23200 	23710 	24060 	24810 	25500 	25580 	24400 	24900 	25320 	25080 	25030 	25390 	25930 	26410 	27080 	27620 	27980 
CLV10_EUR_HAB,B1GQ,EU28	22960 	23440 	23690 	23910 	24410 	24820 	25560 	26220 	26240 	25020 	25500 	25900 	25730 	25750 	26140 	26680 	27140 	27780 	28280 	28630 
CLV10_EUR_HAB,B1GQ,FI	30510 	31230 	31690 	32250 	33440 	34250 	35490 	37210 	37330 	34150 	35080 	35810 	35140 	34660 	34390 	34460 	35300 	36310 	36850 	37170 
CLV10_EUR_HAB,B1GQ,FR	28930 	29290 	29410 	29440 	30050 	30320 	30850 	31400 	31310 	30250 	30690 	31210 	31160 	31170 	31320 	31540 	31770 	32370	32830	33360
CLV10_EUR_HAB,B1GQ,HR	8200 	8460 	8890 	9400 	9780 	10190 	10700 	11260 	11470 	10630 	10500 	10500 	10300 	10280 	10310 	10630 	11100 	11560 	11990	: 
CLV10_EUR_HAB,B1GQ,HU	7900 	8240 	8660 	9040 	9490 	9910 	10330 	10370 	10500 	9810 	9900 	10110 	10010 	10230 	10690 	11130 	11410 	11930 	12560 	13180
