geo	year	lifeExp	gdpPercap
AL	2018	NA	NA
AL	2017	78.1	NA
AL	2016	78.2	NA
AL	2015	77.4	NA
AL	2014	77.8	NA
AL	2013	77.6	NA
AL	2012	NA	NA
AL	2011	NA	NA
AL	2010	NA	NA
AL	2009	NA	NA
AL	2008	NA	NA
AL	2007	NA	NA
AL	2006	NA	NA
AL	2005	NA	NA
AL	2004	NA	NA
AL	2003	NA	NA
AL	2002	NA	NA
AL	2001	NA	NA
AL	2000	NA	NA
AL	1999	NA	NA
AL	1998	NA	NA
AL	1997	NA	NA
AL	1996	NA	NA
AL	1995	NA	NA
AL	1994	NA	NA
AL	1993	NA	NA
AL	1992	NA	NA
AL	1991	NA	NA
AL	1990	NA	NA
AL	1989	NA	NA
AL	1988	NA	NA
AL	1987	NA	NA
AL	1986	NA	NA
AL	1985	NA	NA
AL	1984	NA	NA
AL	1983	NA	NA
AL	1982	NA	NA
AL	1981	NA	NA
AL	1980	NA	NA
AL	1979	NA	NA
AL	1978	NA	NA
AL	1977	NA	NA
AL	1976	NA	NA
AL	1975	NA	NA
AL	1974	NA	NA
AL	1973	NA	NA
AL	1972	NA	NA
AL	1971	NA	NA
AL	1970	NA	NA
AL	1969	NA	NA
AL	1968	NA	NA
AL	1967	NA	NA
AL	1966	NA	NA
AL	1965	NA	NA
AL	1964	NA	NA
AL	1963	NA	NA
AL	1962	NA	NA
AL	1961	NA	NA
AL	1960	NA	NA
AM	2018	NA	NA
AM	2017	75.5	NA
AM	2016	74.7	NA
AM	2015	74.7	NA
AM	2014	NA	NA
AM	2013	NA	NA
AM	2012	NA	NA
AM	2011	NA	NA
AM	2010	NA	NA
AM	2009	73.5	NA
AM	2008	73.4	NA
AM	2007	73.5	NA
AM	2006	73	NA
AM	2005	NA	NA
AM	2004	NA	NA
AM	2003	NA	NA
AM	2002	NA	NA
AM	2001	NA	NA
AM	2000	NA	NA
AM	1999	NA	NA
AM	1998	NA	NA
AM	1997	NA	NA
AM	1996	NA	NA
AM	1995	NA	NA
AM	1994	NA	NA
AM	1993	NA	NA
AM	1992	NA	NA
AM	1991	NA	NA
AM	1990	NA	NA
AM	1989	NA	NA
AM	1988	NA	NA
AM	1987	NA	NA
AM	1986	NA	NA
AM	1985	NA	NA
AM	1984	NA	NA
AM	1983	NA	NA
AM	1982	NA	NA
AM	1981	NA	NA
AM	1980	NA	NA
AM	1979	NA	NA
AM	1978	NA	NA
AM	1977	NA	NA
AM	1976	NA	NA
AM	1975	NA	NA
AM	1974	NA	NA
AM	1973	NA	NA
AM	1972	NA	NA
AM	1971	NA	NA
AM	1970	NA	NA
AM	1969	NA	NA
AM	1968	NA	NA
AM	1967	NA	NA
AM	1966	NA	NA
AM	1965	NA	NA
AM	1964	NA	NA
AM	1963	NA	NA
AM	1962	NA	NA
AM	1961	NA	NA
AM	1960	NA	NA
AT	2018	NA	37810
AT	2017	81	37090
AT	2016	81	36430
AT	2015	80.6	36140
AT	2014	80.9	36130
AT	2013	80.5	36180
AT	2012	80.3	36390
AT	2011	80.4	36300
AT	2010	80.1	35390
AT	2009	79.8	34830
AT	2008	79.9	36280
AT	2007	79.6	35870
AT	2006	79.4	34700
AT	2005	78.9	33710
AT	2004	78.7	33200
AT	2003	78.1	32520
AT	2002	78.2	32360
AT	2001	78.2	31990
AT	2000	77.7	31710
AT	1999	77.4	NA
AT	1998	77.3	NA
AT	1997	76.9	NA
AT	1996	76.5	NA
AT	1995	76.3	NA
AT	1994	76.1	NA
AT	1993	75.8	NA
AT	1992	75.7	NA
AT	1991	75.5	NA
AT	1990	75.4	NA
AT	1989	75.2	NA
AT	1988	75.1	NA
AT	1987	74.7	NA
AT	1986	74.3	NA
AT	1985	73.9	NA
AT	1984	73.7	NA
AT	1983	73.1	NA
AT	1982	73.2	NA
AT	1981	73	NA
AT	1980	72.8	NA
AT	1979	72.7	NA
AT	1978	72.3	NA
AT	1977	72.4	NA
AT	1976	72.1	NA
AT	1975	71.8	NA
AT	1974	71.9	NA
AT	1973	71.9	NA
AT	1972	71.4	NA
AT	1971	71.2	NA
AT	1970	70.9	NA
AT	1969	NA	NA
AT	1968	NA	NA
AT	1967	NA	NA
AT	1966	NA	NA
AT	1965	NA	NA
AT	1964	NA	NA
AT	1963	NA	NA
AT	1962	NA	NA
AT	1961	NA	NA
AT	1960	NA	NA
AZ	2018	NA	NA
AZ	2017	75.4	NA
AZ	2016	NA	NA
AZ	2015	75.2	NA
AZ	2014	74.5	NA
AZ	2013	74.5	NA
AZ	2012	73.9	NA
AZ	2011	NA	NA
AZ	2010	73.4	NA
AZ	2009	73.7	NA
AZ	2008	73.5	NA
AZ	2007	72.7	NA
AZ	2006	72.5	NA
AZ	2005	NA	NA
AZ	2004	NA	NA
AZ	2003	NA	NA
AZ	2002	NA	NA
AZ	2001	NA	NA
AZ	2000	NA	NA
AZ	1999	NA	NA
AZ	1998	NA	NA
AZ	1997	NA	NA
AZ	1996	NA	NA
AZ	1995	NA	NA
AZ	1994	NA	NA
AZ	1993	NA	NA
AZ	1992	NA	NA
AZ	1991	NA	NA
AZ	1990	NA	NA
AZ	1989	NA	NA
AZ	1988	NA	NA
AZ	1987	NA	NA
AZ	1986	NA	NA
AZ	1985	NA	NA
AZ	1984	NA	NA
AZ	1983	NA	NA
AZ	1982	NA	NA
AZ	1981	NA	NA
AZ	1980	NA	NA
AZ	1979	NA	NA
AZ	1978	NA	NA
AZ	1977	NA	NA
AZ	1976	NA	NA
AZ	1975	NA	NA
AZ	1974	NA	NA
AZ	1973	NA	NA
AZ	1972	NA	NA
AZ	1971	NA	NA
AZ	1970	NA	NA
AZ	1969	NA	NA
AZ	1968	NA	NA
AZ	1967	NA	NA
AZ	1966	NA	NA
AZ	1965	NA	NA
AZ	1964	NA	NA
AZ	1963	NA	NA
AZ	1962	NA	NA
AZ	1961	NA	NA
AZ	1960	NA	NA
BE	2018	NA	35600
BE	2017	80.9	35250
BE	2016	80.8	34700
BE	2015	80.4	34360
BE	2014	80.6	33870
BE	2013	80	33490
BE	2012	79.8	33490
BE	2011	79.9	33460
BE	2010	79.6	33330
BE	2009	79.4	32700
BE	2008	79.1	33640
BE	2007	79.2	33760
BE	2006	78.8	32800
BE	2005	78.4	32200
BE	2004	78.3	31640
BE	2003	77.6	30680
BE	2002	77.5	30490
BE	2001	77.5	30110
BE	2000	77.2	29890
BE	1999	77.1	NA
BE	1998	77	NA
BE	1997	76.9	NA
BE	1996	76.7	NA
BE	1995	76.4	NA
BE	1994	76.4	NA
BE	1993	76.1	NA
BE	1992	76.1	NA
BE	1991	76	NA
BE	1990	75.8	NA
BE	1989	75.4	NA
BE	1988	75.4	NA
BE	1987	75.2	NA
BE	1986	74.6	NA
BE	1985	74.3	NA
BE	1984	74.2	NA
BE	1983	73.7	NA
BE	1982	73.8	NA
BE	1981	73.5	NA
BE	1980	73.2	NA
BE	1979	73.2	NA
BE	1978	72.7	NA
BE	1977	72.8	NA
BE	1976	72.3	NA
BE	1975	72.2	NA
BE	1974	72.3	NA
BE	1973	71.9	NA
BE	1972	71.8	NA
BE	1971	71.6	NA
BE	1970	71.5	NA
BE	1969	71.3	NA
BE	1968	71.2	NA
BE	1967	71.7	NA
BE	1966	71.5	NA
BE	1965	71.3	NA
BE	1964	71.6	NA
BE	1963	71	NA
BE	1962	71.2	NA
BE	1961	71.6	NA
BE	1960	70.9	NA
BG	2018	NA	6550
BG	2017	74.3	6310
BG	2016	74.4	6050
BG	2015	74.1	5790
BG	2014	74.1	5530
BG	2013	74.5	5400
BG	2012	74	5350
BG	2011	73.9	5300
BG	2010	73.5	5050
BG	2009	73.4	4990
BG	2008	73	5140
BG	2007	72.7	4820
BG	2006	72.5	4500
BG	2005	72.3	4190
BG	2004	72.4	3890
BG	2003	72.2	3640
BG	2002	72.1	3440
BG	2001	71.9	3230
BG	2000	71.6	3010
BG	1999	71.7	NA
BG	1998	70.9	NA
BG	1997	70.4	NA
BG	1996	71	NA
BG	1995	71	NA
BG	1994	71	NA
BG	1993	71.3	NA
BG	1992	71.3	NA
BG	1991	71.3	NA
BG	1990	71.2	NA
BG	1989	71.4	NA
BG	1988	71.4	NA
BG	1987	71.4	NA
BG	1986	71.6	NA
BG	1985	71.1	NA
BG	1984	71.6	NA
BG	1983	71.5	NA
BG	1982	71.4	NA
BG	1981	71.9	NA
BG	1980	71.5	NA
BG	1979	71.6	NA
BG	1978	71.7	NA
BG	1977	71.4	NA
BG	1976	72	NA
BG	1975	71.6	NA
BG	1974	72	NA
BG	1973	72.2	NA
BG	1972	71.7	NA
BG	1971	71.6	NA
BG	1970	72.2	NA
BG	1969	71.6	NA
BG	1968	72.4	NA
BG	1967	71.8	NA
BG	1966	72.5	NA
BG	1965	72.5	NA
BG	1964	72.7	NA
BG	1963	72	NA
BG	1962	71.3	NA
BG	1961	72.1	NA
BG	1960	71.6	NA
BY	2018	NA	NA
BY	2017	73.7	NA
BY	2016	73.5	NA
BY	2015	73.2	NA
BY	2014	72.6	NA
BY	2013	72	NA
BY	2012	71.5	NA
BY	2011	70	NA
BY	2010	NA	NA
BY	2009	NA	NA
BY	2008	NA	NA
BY	2007	NA	NA
BY	2006	NA	NA
BY	2005	NA	NA
BY	2004	NA	NA
BY	2003	NA	NA
BY	2002	NA	NA
BY	2001	NA	NA
BY	2000	NA	NA
BY	1999	NA	NA
BY	1998	NA	NA
BY	1997	NA	NA
BY	1996	NA	NA
BY	1995	NA	NA
BY	1994	NA	NA
BY	1993	NA	NA
BY	1992	NA	NA
BY	1991	NA	NA
BY	1990	NA	NA
BY	1989	NA	NA
BY	1988	NA	NA
BY	1987	NA	NA
BY	1986	NA	NA
BY	1985	NA	NA
BY	1984	NA	NA
BY	1983	NA	NA
BY	1982	NA	NA
BY	1981	NA	NA
BY	1980	NA	NA
BY	1979	NA	NA
BY	1978	NA	NA
BY	1977	NA	NA
BY	1976	NA	NA
BY	1975	NA	NA
BY	1974	NA	NA
BY	1973	NA	NA
BY	1972	NA	NA
BY	1971	NA	NA
BY	1970	NA	NA
BY	1969	NA	NA
BY	1968	NA	NA
BY	1967	NA	NA
BY	1966	NA	NA
BY	1965	NA	NA
BY	1964	NA	NA
BY	1963	NA	NA
BY	1962	NA	NA
BY	1961	NA	NA
BY	1960	NA	NA
CH	2018	NA	59870
CH	2017	83	58700
CH	2016	83	58200
CH	2015	82.4	57840
CH	2014	82.7	57730
CH	2013	82.2	57040
CH	2012	82.1	56660
CH	2011	82.2	56690
CH	2010	82	56150
CH	2009	81.7	55080
CH	2008	81.7	57030
CH	2007	81.4	56500
CH	2006	81.2	54720
CH	2005	80.8	52920
CH	2004	80.7	51630
CH	2003	80	50580
CH	2002	80	50930
CH	2001	79.8	51220
CH	2000	79.4	50770
CH	1999	79.2	NA
CH	1998	79	NA
CH	1997	78.8	NA
CH	1996	78.6	NA
CH	1995	78.1	NA
CH	1994	78.1	NA
CH	1993	77.8	NA
CH	1992	77.6	NA
CH	1991	77.3	NA
CH	1990	77	NA
CH	1989	77.3	NA
CH	1988	77.1	NA
CH	1987	77	NA
CH	1986	76.7	NA
CH	1985	76.5	NA
CH	1984	76.4	NA
CH	1983	75.8	NA
CH	1982	75.8	NA
CH	1981	75.5	NA
CH	1980	75.4	NA
CH	1979	75.4	NA
CH	1978	75	NA
CH	1977	75.2	NA
CH	1976	74.8	NA
CH	1975	74.7	NA
CH	1974	74.4	NA
CH	1973	74.1	NA
CH	1972	73.8	NA
CH	1971	73.3	NA
CH	1970	73.3	NA
CH	1969	72.9	NA
CH	1968	72.9	NA
CH	1967	73.1	NA
CH	1966	72.7	NA
CH	1965	72.6	NA
CH	1964	72.6	NA
CH	1963	71.8	NA
CH	1962	71.9	NA
CH	1961	72.4	NA
CH	1960	72	NA
CY	2018	NA	23770
CY	2017	81.3	23120
CY	2016	81.9	22360
CY	2015	81	21040
CY	2014	81.5	20240
CY	2013	81.7	20400
CY	2012	80.4	21780
CY	2011	80.5	22900
CY	2010	80.8	23400
CY	2009	80.2	23550
CY	2008	79.9	24680
CY	2007	79.1	24420
CY	2006	79.4	23740
CY	2005	78	23050
CY	2004	78.4	22300
CY	2003	78.3	21520
CY	2002	78	21230
CY	2001	78.4	20700
CY	2000	77.1	20130
CY	1999	77.4	NA
CY	1998	76.7	NA
CY	1997	77	NA
CY	1996	77.3	NA
CY	1995	77	NA
CY	1994	76.8	NA
CY	1993	76.9	NA
CY	1992	NA	NA
CY	1991	NA	NA
CY	1990	NA	NA
CY	1989	NA	NA
CY	1988	NA	NA
CY	1987	NA	NA
CY	1986	NA	NA
CY	1985	NA	NA
CY	1984	NA	NA
CY	1983	NA	NA
CY	1982	NA	NA
CY	1981	NA	NA
CY	1980	NA	NA
CY	1979	NA	NA
CY	1978	NA	NA
CY	1977	NA	NA
CY	1976	NA	NA
CY	1975	NA	NA
CY	1974	NA	NA
CY	1973	NA	NA
CY	1972	NA	NA
CY	1971	NA	NA
CY	1970	NA	NA
CY	1969	NA	NA
CY	1968	NA	NA
CY	1967	NA	NA
CY	1966	NA	NA
CY	1965	NA	NA
CY	1964	NA	NA
CY	1963	NA	NA
CY	1962	NA	NA
CY	1961	NA	NA
CY	1960	NA	NA
CZ	2018	NA	17620
CZ	2017	78.3	17200
CZ	2016	78.4	16520
CZ	2015	77.9	16160
CZ	2014	78.1	15370
CZ	2013	77.5	14980
CZ	2012	77.4	15060
CZ	2011	77.2	15200
CZ	2010	76.9	14900
CZ	2009	76.6	14610
CZ	2008	76.5	15430
CZ	2007	76.3	15190
CZ	2006	76	14460
CZ	2005	75.4	13570
CZ	2004	75.2	12780
CZ	2003	74.6	12180
CZ	2002	74.7	11760
CZ	2001	74.6	11540
CZ	2000	74.4	11170
CZ	1999	74.2	NA
CZ	1998	74.1	NA
CZ	1997	73.5	NA
CZ	1996	73.4	NA
CZ	1995	72.8	NA
CZ	1994	72.7	NA
CZ	1993	72.6	NA
CZ	1992	72.1	NA
CZ	1991	71.8	NA
CZ	1990	71.3	NA
CZ	1989	71.5	NA
CZ	1988	71.6	NA
CZ	1987	71.4	NA
CZ	1986	71	NA
CZ	1985	71	NA
CZ	1984	70.9	NA
CZ	1983	70.7	NA
CZ	1982	71	NA
CZ	1981	70.9	NA
CZ	1980	70.5	NA
CZ	1979	71	NA
CZ	1978	71	NA
CZ	1977	71	NA
CZ	1976	71	NA
CZ	1975	70.9	NA
CZ	1974	70.6	NA
CZ	1973	70.6	NA
CZ	1972	70.7	NA
CZ	1971	70.2	NA
CZ	1970	70	NA
CZ	1969	70.1	NA
CZ	1968	70.6	NA
CZ	1967	71	NA
CZ	1966	71.1	NA
CZ	1965	71	NA
CZ	1964	71.1	NA
CZ	1963	71	NA
CZ	1962	70.5	NA
CZ	1961	71.1	NA
CZ	1960	71.1	NA
DE	2018	NA	35860
DE	2017	80.3	35420
DE	2016	80.3	34700
DE	2015	80	34220
DE	2014	80.4	33930
DE	2013	79.9	33330
DE	2012	80	33280
DE	2011	79.9	33200
DE	2010	79.8	31940
DE	2009	79.6	30580
DE	2008	79.5	32320
DE	2007	79.4	31920
DE	2006	79.2	30930
DE	2005	78.7	29730
DE	2004	78.6	29470
DE	2003	78	29090
DE	2002	77.9	29290
DE	2001	77.9	29370
DE	2000	77.6	28900
DE	1999	77.4	NA
DE	1998	77.2	NA
DE	1997	76.8	NA
DE	1996	76.4	NA
DE	1995	76.1	NA
DE	1994	76	NA
DE	1993	75.7	NA
DE	1992	75.6	NA
DE	1991	75.2	NA
DE	1990	76.9	NA
DE	1989	75.7	NA
DE	1988	75.6	NA
DE	1987	75.4	NA
DE	1986	75	NA
DE	1985	74.8	NA
DE	1984	NA	NA
DE	1983	NA	NA
DE	1982	NA	NA
DE	1981	NA	NA
DE	1980	NA	NA
DE	1979	NA	NA
DE	1978	NA	NA
DE	1977	NA	NA
DE	1976	NA	NA
DE	1975	NA	NA
DE	1974	NA	NA
DE	1973	NA	NA
DE	1972	NA	NA
DE	1971	NA	NA
DE	1970	NA	NA
DE	1969	NA	NA
DE	1968	NA	NA
DE	1967	NA	NA
DE	1966	NA	NA
DE	1965	NA	NA
DE	1964	NA	NA
DE	1963	NA	NA
DE	1962	NA	NA
DE	1961	NA	NA
DE	1960	NA	NA
DE_TOT	2018	NA	NA
DE_TOT	2017	80.3	NA
DE_TOT	2016	80.3	NA
DE_TOT	2015	80	NA
DE_TOT	2014	80.4	NA
DE_TOT	2013	79.9	NA
DE_TOT	2012	80	NA
DE_TOT	2011	79.9	NA
DE_TOT	2010	79.8	NA
DE_TOT	2009	79.6	NA
DE_TOT	2008	79.5	NA
DE_TOT	2007	79.4	NA
DE_TOT	2006	79.2	NA
DE_TOT	2005	78.7	NA
DE_TOT	2004	78.6	NA
DE_TOT	2003	78	NA
DE_TOT	2002	77.9	NA
DE_TOT	2001	77.9	NA
DE_TOT	2000	77.6	NA
DE_TOT	1999	77.4	NA
DE_TOT	1998	77.2	NA
DE_TOT	1997	76.8	NA
DE_TOT	1996	76.4	NA
DE_TOT	1995	76.1	NA
DE_TOT	1994	76	NA
DE_TOT	1993	75.7	NA
DE_TOT	1992	75.6	NA
DE_TOT	1991	75.2	NA
DE_TOT	1990	75	NA
DE_TOT	1989	75.1	NA
DE_TOT	1988	75	NA
DE_TOT	1987	74.8	NA
DE_TOT	1986	74.4	NA
DE_TOT	1985	74.2	NA
DE_TOT	1984	74.2	NA
DE_TOT	1983	73.7	NA
DE_TOT	1982	73.5	NA
DE_TOT	1981	73.2	NA
DE_TOT	1980	73.1	NA
DE_TOT	1979	73	NA
DE_TOT	1978	72.7	NA
DE_TOT	1977	72.7	NA
DE_TOT	1976	72.2	NA
DE_TOT	1975	71.9	NA
DE_TOT	1974	72.2	NA
DE_TOT	1973	71.9	NA
DE_TOT	1972	71.6	NA
DE_TOT	1971	71.5	NA
DE_TOT	1970	71.3	NA
DE_TOT	1969	71	NA
DE_TOT	1968	71.2	NA
DE_TOT	1967	71.6	NA
DE_TOT	1966	71.5	NA
DE_TOT	1965	71.4	NA
DE_TOT	1964	71.6	NA
DE_TOT	1963	71.2	NA
DE_TOT	1962	71.2	NA
DE_TOT	1961	71.2	NA
DE_TOT	1960	70.7	NA
DK	2018	NA	48260
DK	2017	80.5	47360
DK	2016	80.2	46720
DK	2015	80.1	45630
DK	2014	80.1	44890
DK	2013	79.6	44410
DK	2012	79.4	44170
DK	2011	79.1	44240
DK	2010	78.6	43840
DK	2009	78.3	43220
DK	2008	78.1	45700
DK	2007	77.7	46210
DK	2006	77.7	45990
DK	2005	77.6	44400
DK	2004	77.2	43520
DK	2003	76.8	42490
DK	2002	76.4	42430
